stop_id,stop_code,stop_name,stop_lat,stop_lon
1236,U02190,Faiz Road,28.6494,77.1987
1237,U02232,Karol Bagh Terminal,28.6481,77.20121
1238,U02311,Rani Jhasi Road  Jhandewalan,28.64568,77.20471
1239,U02396,Paharganj Police Station,28.6462,77.20818
1240,U02482,Pahar Ganj,28.645483,77.211517
1241,U02744,Jln Marg,28.64201,77.22831
1242,U02781,Zakir Hussain College,28.64115,77.23006
1243,U02820,Turkman Gate,28.64176,77.23336
1244,U02885,Delhi Gate,28.64086,77.23871
1245,U03018,ITO-Ring Road,28.62953,77.24783
1246,U03269,Jheel,28.657703,77.273504
1247,U03291A,Pandit Park,28.65491,77.27658
1248,U03303,Shiv Puri,28.65111,77.27828
1249,U03310,Rashid Market,28.64948,77.27895
1250,U03312,Khureji,28.646642,77.279044
1251,U03347,Guru Angad Nagar,28.641585,77.282381
1252,U03368,Radhu Palace,28.63961,77.28366
1253,DCWG001,DTC Millennium Depot,28.601116,77.255082
1254,DCWG002,DTC Millennium Depot,28.602894,77.254457
1255,DCWG003,DTC Millennium Depot ,28.606401,77.253367
1256,DCWG004,DTC Millennium Depot,28.598963,77.257378
1257,DCWG005,DTC Millennium Depot,28.602476,77.258212
1258,DCWG006,DTC Millennium Depot,28.600197,77.256173
1259,DCWG007,DTC Millennium Depot,28.599078,77.25629
1260,DCWG008,DTC Millennium Depot,28.599554,77.258017
1261,DCWG009,DTC Millennium Depot,28.606459,77.253702
1262,U00596,Dwarka Sec 6-10 Crossing,28.5878,77.06666
1263,U00611,Princes Park Dwarka Sector-7,28.5901,77.0689
1264,U00634,Mahavir Enclave Part-2&3,28.60338,77.07103
1265,U00635,Telephone Exchange,28.59316,77.07128
1266,U00636,SFS Flats Sector-2 Dwarka,28.60036,77.07145
1267,U00644,Dwarka Sec-1,28.59656,77.0722
1268,U00672,Vijay Enclave,28.6063,77.07546
1269,U00696,Dwarka Puri,28.60745,77.07821
1270,U00724,Dasrathpuri,28.60925,77.08065
1271,U00741,C-2 Janak Puri,28.61608,77.08141
1272,U00778,Dabri More,28.61191,77.08605
1273,U01050,Clock Tower Hari Nagar,28.62516,77.1108
1274,U01053,DDU Hospitals,28.62813,77.11091
1275,U01056,Hari Nagar-Ghanta Ghar,28.62485,77.11048
1276,U01057,DDU Hospitals,28.62821,77.11103
1277,U01058,DDU-Petrol Pump,28.63103,77.1111
1278,U01063,Beri Wala Bagh,28.63145,77.11201
1279,U01082,Swarg Ashram,28.63091,77.11506
1280,U01083,Swarg Ashram,28.63088,77.11506
1281,U01122,LIG Flats Mayapuri,28.63088,77.11953
1282,U01162,Metal Forging,28.63001,77.1233
1283,U01175,Mohan Puri Xing/Depot,28.6306,77.12431
1284,U01216,Govt. Press,28.63413,77.1276
1285,U01217,Govt. Press,28.63456,77.12766
1286,U01230,Maya Puri Crossing - Depot,28.63693,77.1289
1287,U01231,Maya Puri Depot,28.635383,77.129167
1288,U01303,Naraina Vihar,28.6272,77.1337
1289,U01305,Nariana Vihar,28.62688,77.13533
1290,U01347,Payal Cinema,28.6309,77.1383
1291,U01348,Payal Cinema,28.6314,77.1384
1292,U01420,Loha Mandi,28.6395,77.14393
1293,U01436,Loha Mandi,28.64133,77.14516
1294,U01494,Naraina Depot,28.64896,77.15125
1295,U01497,Janki Dass Kapoor Memorial Hos,28.64889,77.15119
1296,U01549,Shadipur depot crossing,28.6516,77.1561
1297,U01554,Shadipur Depot Crossing,28.6517,77.1565
1298,U01665,West Patel Nagar,28.647433,77.164983
1299,U01717,South Patel Nagar,28.64533,77.16863
1300,U01796,East Patel Nagar,28.642692,77.172942
1301,U01818,New Rajinder Nagar/Fire Station,28.64068,77.1762
1302,U01827,Fire Station Shankar Road,28.64103,77.17598
1303,U01864,Shankar Road,28.63913,77.17901
1304,U01872,Shankar Road,28.63885,77.1793
1305,U01930,New Rajender Nagar,28.63676,77.1831
1306,U01944,New Rajender Nagar,28.63611,77.18445
1307,U02064,Ridge Road,28.63213,77.19025
1308,U02145,Talkatora Stadium,28.62636,77.19643
1309,U02147,Talkatora Stadium,28.62616,77.19641
1310,U02165,RML Hospital,28.6246,77.19796
1311,U02187,RML Hospital,28.62506,77.19868
1312,U02266,Talkatora Road,28.62326,77.20136
1313,U02277,Talkatora Road,28.62321,77.20143
1314,U02359,NDPO New Delhi,28.62555,77.20663
1315,U02474,YMCA,28.625399,77.209482
1316,U02521,Tolstoy Marg Crossing,28.62761,77.22526
1317,U02598,Tolstoy Marg,28.62641,77.22073
1318,U02743,Modern School,28.62798,77.2278
1319,U02753,Modern School,28.6278,77.22851
1320,U02887,Tilak Bridge,28.62528,77.23838
1321,U02961,I T O,28.62783,77.24331
1322,U99716,Royal Residency,28.58158,77.07063
1323,U99984A,K Block Baba Ram Dev Mandir,28.65343,77.10911
1324,U01008,D Blk Janak Puri Pankha Road,28.6077,77.10411
1325,U01185,PS Sadar Bazar,28.599833,77.124833
1326,U01318,Shastri Bazar,28.59651,77.13586
1327,U01379,Shree  Nagesh Garden,28.59655,77.14068
1328,U01765,Taj Hotel,28.59715,77.1716
1329,U01860,Railway Colony,28.60078,77.17855
1330,U01951,Bhartiya Sadhu Samaj,28.60398,77.18461
1331,U02118,Talkatora Garden,28.62153,77.19468
1332,U02149,Dr Rml Hospital,28.62248,77.19673
1333,U02621,Firoz Shah Road,28.62101,77.22146
1334,U00815,Narela Terminal,28.852067,77.087967
1335,U00822,Thana Narela,28.853323,77.088501
1336,U00888,Ram Dev Chowk,28.858726,77.093643
1337,U00952,Desu Colony- Sec-5-8 Crossing,28.86465,77.09861
1338,U00970,Sector 5-6 Narela Xing,28.8574,77.10445
1339,U01000,Sec- 5 Narela,28.85791,77.10326
1340,U01180,Singhu Border,28.85661,77.12466
1341,U01195,Singhu Village Crossing,28.85221,77.1255
1342,U01210,Singhola Village,28.84468,77.12681
1343,U01227,Tikri Khurd Crossing,28.83623,77.1284
1344,U01266,Kham Pur Village,28.82493,77.13185
1345,U01312,Bakauli Crossing,28.81203,77.13568
1346,U01349,Bakauli crossing,28.802671,77.138436
1347,U01360,Alipur Villege,28.796808,77.139386
1348,U01364,Alipur Blk.(BDO Office),28.79325,77.1399
1349,U01384,Budh Pur Village,28.78183,77.14118
1350,U01394,Jain Mandir,28.77766,77.14208
1351,U01404,Nangli Poonam,28.77291,77.14315
1352,U01438,Gurudwara GT Road,28.76491,77.1454
1353,U01464,Swaroop Nagar,28.75806,77.14763
1354,U01479,Libas Pur GT Road,28.75246,77.14938
1355,U01534,GTK By Pass,28.737712,77.154325
1356,U01582,GTK Depot,28.73118,77.1586
1357,U01615,Jahangir Puri GT Road,28.726559,77.162047
1358,U01699,Sarai Peepal Thala,28.72038,77.16688
1359,U01761,Adarsh Nagar,28.71586,77.1709
1360,U01780,New Sabzi Mandi,28.713936,77.172539
1361,U01903,Azad Pur Terminal,28.7073,77.1807
1362,U01977,Model Town III,28.70593,77.18525
1363,U02074,Model Town II,28.704,77.1905
1364,U02245,New Police Line,28.699907,77.201474
1365,U02360,GTB Nagar,28.6979,77.2066
1366,U02461,INS Hostel,28.69621,77.2116
1367,U02504,Vishwa Vidyalaya Metro Station,28.69519,77.21405
1368,U02571,S.J.Hospital,28.56948,77.2047
1369,U02597,Firoz Shah Road,28.62073,77.22058
1370,U02609,Kheber pass,28.69058,77.22115
1371,U02616,P S Civil lines,28.68785,77.221467
1372,U02628,Old Sectariate,28.68371,77.22213
1373,U02642,I P College,28.68016,77.22345
1374,U02711,K G Marg Xing,28.62345,77.22666
1375,U02782,ISBT Maharana Pratap Bus (T),28.669363,77.229972
1376,U01066,Beri Wala Bagh,28.631232,77.112059
1377,U01119,LIG Flats Mayapuri,28.630781,77.119084
1378,U01326,Wood Market,28.6426,77.13672
1379,U01333,Wood Market,28.642687,77.137033
1380,U01335,Kirti Nagar,28.65413,77.13605
1381,U01344,Kirti Nagar,28.65503,77.1377
1382,U01366,Mansrover Garden,28.64618,77.140152
1383,U01376,F Block Kirti Nagar,28.651512,77.140711
1384,U01381,F Block Kirti Nagar,28.651467,77.14085
1385,U01389,Moti Nagar Market,28.65738,77.14135
1386,U01410,P S Kirti Nagar,28.648919,77.143381
1387,U01414,PS Kirti Nagar,28.649326,77.143477
1388,U01424,Moti Nagar,28.65861,77.14416
1389,U01425,Moti Nagar,28.65888,77.14413
1390,U01462,Karampura Dispensary,28.66051,77.14735
1391,U01476,ESI Dispensary Karampura,28.66081,77.14886
1392,U01511,Campa Cola,28.661933,77.151967
1393,U01525,Campa Cola,28.66281,77.1536
1394,U01535,Campa Cola,28.66311,77.1547
1395,U01596,DCM Chemical -Prem Nagar,28.664976,77.159346
1396,U01601,S B Mill,28.6654,77.15998
1397,U01640,Zakhira,28.66776,77.16421
1398,U01646,Zakhira,28.66738,77.16418
1399,U01701,Inder Lok,28.66993,77.16741
1400,U01723,Inder Lok Metro Station,28.67226,77.16915
1401,U01790,Shiv Mandir Shastri Nagar,28.67165,77.17298
1402,U01837,E Block Shastri Nagar,28.67098,77.17603
1403,U01912,Shastri Nagar Metro Station,28.67005,77.18103
1404,U01940,Subhadra Colony,28.6711,77.184033
1405,U01945,Subhadra Colony,28.671,77.1842
1406,U01992,Shastri Nagar A Block,28.67233333,77.18583333
1407,U01999,Shastri Nagar A Block,28.67296,77.18645
1408,U02023,Gulabi Bagh Xing,28.6748,77.1885
1409,U02032,Gulabi Bagh,28.67496,77.18855
1410,U02040,Chowki No.2,28.6768,77.189
1411,U02136,Shakti Nagar-Nangia Park,28.68035,77.19625
1412,U02143,Shakti Nagar - Nagia Park,28.6799,77.19571
1413,U02252,Roop nagar,28.68406,77.20195
1414,U02262,Roop Nagar,28.68409,77.20248
1415,U02286,P S Roop Nagar- Banglow Road,28.684725,77.203596
1416,U02336,Maurice Nagar,28.6865,77.20556
1417,U02340,Maurice Nagar,28.686292,77.205715
1418,U02347,Doulat Ram College,28.68823,77.20645
1419,U02369,Sri Ram College,28.68903,77.2069
1420,U02393,Patel Chest,28.690922,77.207932
1421,U02399,Patel Chest,28.69236,77.20845
1422,U02426,Khalsa College,28.6948,77.209733
1423,U02433,Khalsa College,28.695182,77.209839
1424,U02467,INS Hostel,28.69613,77.21226
1425,U02515,Vishwa Vidyalaya Metro Station,28.69508,77.21536
1426,U02542,Lucknow Road,28.696659,77.216678
1427,U02558,DDA Flat Lucknow Road,28.699928,77.218236
1428,U02586,Timar pur INMAS,28.702542,77.219516
1429,U02601,Banarasi Dass Estate,28.697345,77.22062
1430,U02607,CGHS Dispensary,28.70605,77.221183
1431,U02635,Balak Ram Hospital,28.7049,77.2231
1432,U02656,P.S. Timarpur,28.70701,77.22391
1433,U02701,Nehru Vihar Crossing,28.70886,77.22591
1434,U02705,Nehru Vihar Xing,28.70906,77.22623
1435,U99980,Nehru Vihar,28.711622,77.222579
1436,U99980A,Nehru Vihar,28.711492,77.222425
1437,U99984,PS Khyala (Raghubir Nagar C-Block),28.6575,77.11333
1438,U00001,Dhansa Border,28.562471,76.842543
1439,U00002,Dhansa Border,28.562375,76.843327
1440,U00003,S.K.V.Dhansa,28.5576,76.8622
1441,U00004,S.K.V.Dhansa,28.55773,76.862505
1442,U00009,Dhansa,28.557774,76.867335
1443,U00010,Dhansa Village,28.557707,76.868571
1444,U00011,AIR Force Camp,28.563278,76.871747
1445,U00012,AIR Force Camp,28.563298,76.871937
1446,U00013,Corporation Bank,28.5754,76.86675
1447,U00014,Isha Pur II,28.57728,76.86623
1448,U00015,Isha Pur II,28.57733,76.8658
1449,U00016,Kazi Pur Villege,28.5782,76.87986
1450,U00019,Bakkar Garh X-Ing,28.592693,76.886184
1451,U00021,Bakkar Garh X-Ing,28.59201,76.88605
1452,U00023,Daraula Village,28.513155,76.893928
1453,U00024,Daraula Village,28.51093,76.89543
1454,U00025,Mundhela Villege,28.59745,76.89498
1455,U00026,Mudhela Crossing,28.5978,76.90135
1456,U00027,Daraula Border,28.50776,76.89705
1457,U00028,Daraula Border,28.50768,76.89728
1458,U00029,Galib Pur Crossing,28.52298,76.89946
1459,U00030,Galib Pur X-Ing,28.52301,76.89951
1460,U00032,Rawta Village,28.52671,76.90383
1461,U00033,Rawta Village,28.52655,76.90361
1462,U00035,Ujwa Village,28.571679,76.907718
1463,U00038,Jhuljhuli Crossing,28.53196,76.90723
1464,U00040,Malik Pur Zar Xing,28.552431,76.907157
1465,U00041,Ujwa School,28.57346,76.90826
1466,U00042,Malik Pur Zar Crossing,28.552902,76.907726
1467,U00043,Ujwa School,28.57331,76.90828
1468,U00044,Ghuman Hera Crossing,28.5368,76.90993
1469,U00046,Samas Pur Khalsa,28.57836,76.90988
1470,U00048,Sarang Pur Crossing,28.53871,76.90101
1471,U00049,Samas Pur Khalsa,28.57828,76.90993
1472,U00050,Jaffar Pur Hospital,28.59473,76.9152
1473,U00051,Rawta X-Ing,28.60021,76.91615
1474,U00053,Jaffar Pur Hospital,28.59451,76.91523
1475,U00054,Rawta Crossing,28.60001,76.91575
1476,U00055,Rawta Crossing,28.60028,76.9159
1477,U00067,Mansa Ram Marg,28.60075,76.91981
1478,U00069,Surhera Crossing,28.60443,76.93236
1479,U00078,Mitraon School,28.60721,76.93971
1480,U00079,Mitraon School,28.60688,76.93941
1481,U00085,Mitraon,28.60807,76.944538
1482,U00086,DESU office - Mitraon Village,28.60833,76.9524
1483,U00112,Indra Service Station,28.60858,76.95878
1484,U00116,Indra Service Station,28.60876,76.95996
1485,U00123,Qutab Garh Village,28.80135,76.96211
1486,U00124,Punjab Khore,28.7777,76.9615
1487,U00125,Punjab Khore,28.77788,76.9614
1488,U00134,Qutab Garh Village,28.80095,76.96188
1489,U00140,Jat Khor Village,28.788042,76.962609
1490,U00148,Katewara Crossing,28.80625,76.96591
1491,U00149,Katewara Village Crossing,28.80623,76.96608
1492,U00155,Nanak Piyau,28.6092,76.96718
1493,U00158,Nanak Piao,28.60961,76.96853
1494,U00159,Tatesar Gurukul,28.758553,76.967707
1495,U00167,Prem Nursery,28.6101,76.97083
1496,U00168,Prem Nursery,28.61031,76.97121
1497,U00172,Jonti Gaon,28.75333,76.97198
1498,U00176,Mungeshpur,28.81706,76.97336
1499,U00182,Khera More / Ghuman Hera Crossing,28.61115,76.97521
1500,U00183,Mungesh pur,28.81803,76.97401
1501,U00184,Ghumman Hera Crossing/Khaira More Gopal Nagar,28.61143,76.9758
1502,U00190,Nazafgarh Stand,28.611527,76.977321
1503,U00191,Najafgarh Terminal,28.61498,76.9781
1504,U00192,Najafgarh Terminal,28.61475,76.9776
1505,U00193,Dhansa Stand Nazafgarh,28.61146,76.97775
1506,U00197,Jonti Xing,28.74615,76.9782
1507,U00210,Holy Cross School,28.6145,76.9812
1508,U00213,PS Najafgarh,28.6096,76.982933
1509,U00225,Nazafgarh Health Centre,28.614167,76.985167
1510,U00232,NLD Xing,28.609252,76.985373
1511,U00233,Nazafgarh Delhi Gate,28.61173,76.98568
1512,U00240,Nangloi Stand/PS Najafgarh,28.612588,76.987294
1513,U00242,Nangloi Stand- PS Najafgarh,28.612468,76.987155
